store_token,transaction_id,receipt_token,transaction_time,amount,user_role
6434064d-dd58-4a3c-a8f8-ef905f51b825,a7a8a21d-0c4d-4acc-bcd6-582ba1999580,8X1QH51,20260602T123845.000,81.66,Trainee
6434064d-dd58-4a3c-a8f8-ef905f51b825,36c917a8-0a17-483c-8b2e-436d170d1d44,LKS04WM,20260602T095340.000,36.98,Trainee
9e771243-eecd-4be9-8bbe-b28bbeb96101,d5225ff0-ff31-495a-bdc2-cf512b0268ea,5IJF3,20260602T170948.000,200.2,Seller
f88c9fcc-a2fe-467f-afb3-fbd24a5c6e8f,41b37ff9-f499-4fd7-ab62-fd38d5f95984,4S7R2NX,20260602T162949.000,198.37,Trainee
0b811f15-3d98-4f9c-ba07-1505617c47d5,43006a46-4f4a-42a9-b7da-26a9e4b4a599,4AKZPL5BS4O0,20260602T091340.000,208.89,Cashier
a7405bfe-a0c2-43a3-b36b-6170fea28228,6aa3a9c1-313e-436b-ab95-43ab060cf5d5,0N3P86OV3U,20260602T165812.000,131.32,Seller
6434064d-dd58-4a3c-a8f8-ef905f51b825,c1bab69b-1b81-4009-b67e-50f97e4b5cec,APNPGHWQYN,20260602T164058.000,228.35,Manager
8ec2f983-bfad-42f6-9896-b54a28226f41,db105fb6-538f-4597-a1d0-b28ea4c4d470,8B3RJ8QP,20260602T203139.000,229.23,Trainee
d828c12d-6a9b-4d42-8673-523d4bf4e9a7,0c11e5e2-bb96-4836-8635-0e42b9792b68,TQTAF4ZHAH,20260602T111737.000,250.13,Cashier
a7405bfe-a0c2-43a3-b36b-6170fea28228,4d116408-157b-4fed-8932-2d32288bac18,7VB4I,20260602T162857.000,241.78,Trainee
a7405bfe-a0c2-43a3-b36b-6170fea28228,206f1c45-41f1-4aa6-b02b-d3c50ba73a7c,MI5TYM,20260602T150940.000,164.64,Seller
adf6ca3f-39fa-4fe8-a13a-fea55218ad3a,be0c24d2-8e41-407c-a4dd-bae0ba976627,ZLJW25YV2G4,20260602T195454.000,157.18,Seller
d40e7a42-0e28-4c77-b654-e01ccdff60a8,4438d709-6aed-4518-b99b-78523ad7719a,W5S4B0LKM9DJ,20260602T144532.000,132.83,Manager
0b811f15-3d98-4f9c-ba07-1505617c47d5,058f7e98-effe-415e-8cee-69be4cf43cfd,DDOHX1V,20260602T200125.000,297.69,Manager
a7405bfe-a0c2-43a3-b36b-6170fea28228,f41f687e-c77b-436a-93a7-d62794c12b58,9Y73SB,20260602T131637.000,170.08,Seller
d828c12d-6a9b-4d42-8673-523d4bf4e9a7,2e6a463c-7748-48dc-b193-bcbb4c0b7707,YW7WL0A,20260602T205113.000,243.4,Cashier
a3feebda-96b6-4da1-a8e6-637fea947c87,d18d7661-8b69-4b60-9325-d928aa7277ec,TD7PPK9S67CB,20260602T151730.000,74.53,Cashier
83af0909-89ac-466b-9adf-f3f4eca03563,9f4a7ca6-027d-4335-9759-f5c8d9573f96,JB1PURRRB,20260602T153639.000,213.68,Cashier
