store_group,store_token,store_name
771FFD,40bea69f-2335-4972-9d87-a1395d60a659,Store 000001 - Downtown
730065,9bb1168e-9e2c-4191-bdd9-3b55172de12a,Store 000002 - Plaza
7F9B5E,77a836fe-f128-46f1-9a9c-676a4fa924c3,Store 000003 - Beach
509362,8761ca04-bf56-45bd-a1c1-8c5960f78abf,Store 000004 - Beach
0F599C,1fbfe047-9019-448b-9797-4cd60b6a79c7,Store 000005 - Plaza
769257,abd57fba-9dae-4e90-a67e-a16eac84e60f,Store 000006 - Beach
D94D23,0a711f64-95b3-4e72-9ba1-ca02b08bd625,Store 000007 - Market
A502A2,76c1480b-0d8b-4281-a0de-88b604346afb,Store 000008 - Beach
C0BCD7,625870fc-8b34-4770-a96f-a7c115ab322c,Store 000009 - Market
30E4B8,cdcc2416-2464-4261-a9b7-c15d22cfcf74,Store 000010 - Plaza
7AB29A,c86a5047-f3ab-4e7c-9ed6-b1f5236c3394,Store 000011 - Mall
F05B69,008af4c9-6b9d-4701-ae4d-4ad425d1f73a,Store 000012 - Market
A811DD,6219c1c8-33f8-4146-a7b8-a91550ad3d2e,Store 000013 - Market
2B6733,1344caae-2940-48db-b1e6-3663578d274b,Store 000014 - Market
F036C0,0ba0d253-be4e-4f2c-bbc8-bd3411c2e436,Store 000015 - Plaza
9C8D7D,bfb71df4-0511-4e45-bcef-e8631586c1da,Store 000016 - Market
30E0E5,c67bac57-9772-4cd2-b53d-14ead044f61b,Store 000017 - Plaza
E04549,d1f8620f-8283-43f7-9acb-9297b273d3a3,Store 000018 - Market
